# status	workspace root	tracked files	path+blob sha256	Go surface
# ported: runtime behavior and applicable wiring exist; partial: named behavior or applicable wiring remains incomplete.
ported	apps/cli	144	72ae71b4608f598894918187a9c107fbd34f7eb7f568066e40455bf5cee11030	cmd/dsh/main.go,cmd/dsh/profile.go
frontend	apps/web	-	-	-
replaced	native/landlock-run	29	8192026276175752a0a1394647f643ba14e499869e7730ec971994f04f34c1b6	internal/harness/landlock_linux.go,cmd/dsh-landlock-run/main.go
replaced	native/landlock-run/packages/entry	7	f51b2ffe219e09e0f23bb2f37e3dd0777c3004f27d4ce584c7a6f5e82cbd519b	internal/harness/landlock_linux.go,cmd/dsh-landlock-run/main.go
replaced	native/landlock-run/packages/linux-arm64	6	86ccb58549740c2b103af5b78529d1eb0dc3b43d34865a1d1d7e83402439d932	internal/harness/landlock_linux.go,cmd/dsh-landlock-run/main.go
replaced	native/landlock-run/packages/linux-x64	6	68e9c941bc2422902a5b72a736123aef37d4b82beea23230ff5b2660901d9550	internal/harness/landlock_linux.go,cmd/dsh-landlock-run/main.go
ported	packages/acp/acp	25	6a42afd110536829fe85d9e149195b88ed471f66d9485b0bb25a76af6424e05e	internal/harness/acp.go
ported	packages/api/gateway	28	88a0f3ff4fe2ce1836ff8c38850d26a2b54a3219550461b640dd9ec0d0b0c074	internal/harness/rpc.go,internal/harness/remote.go
ported	packages/api/remotes	15	87b3c10e29ff35edb42d0a5a69d760180b45d6331e94f1431b2d787e834877f0	internal/harness/rpc.go,internal/harness/remote.go
ported	packages/api/session-controller	76	a0df4e254abc235573f8e2a7ec9a737d88a099091ea9cc3fb2a3a4d925ee7873	internal/harness/remote.go,internal/harness/rpc.go,internal/harness/session_ops.go,internal/harness/session_query.go,internal/harness/projections.go
ported	packages/api/settings-controller	12	503a8d8b4dbabdccb17094a92e6101bccb0836aa5a1711f0c3885580315d90bc	internal/harness/remote.go,internal/harness/rpc.go,internal/harness/settings.go,internal/harness/credentials.go
